experiment,version,participant,item.pair,correct.bin,pair.order,response.type,response.num,response.dur,response.start,true.dur,true.start,foil.dur,foil.start,true.type,true.structure,true.pos1,true.pos2,true.pos3,true.RFname,phase,foil.type,foil.structure,foil.pos1,foil.pos2,foil.pos3,foil.RFname,language_mother,language_father,age,sex,grade,notes,education,test.type,competitor.type
1,1,14,D,0,true-foil,foil,2,4.3300000000000125,181.13,1.443000000000012,177.041,1.4429999999999836,179.687,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,E,0,true-foil,foil,2,5.772999999999996,108.726,1.203000000000003,104.877,1.4429999999999978,107.283,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,F,0,foil-true,foil,1,6.49499999999999,96.218,1.203000000000003,95.015,1.203000000000003,92.369,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,G,1,foil-true,true,2,5.291999999999973,216.491,1.4440000000000168,215.047,1.4439999999999884,212.401,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,H,1,foil-true,true,2,4.570999999999998,205.425,1.443000000000012,203.982,1.4429999999999836,201.336,word,AXB,A1,X3,B1,A1_X3_B1.wav,segmentation,partword,CAX,B2,A1,X1,B2_A1_X1.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,I,0,true-foil,foil,2,8.900999999999996,120.753,1.4429999999999978,116.664,1.4429999999999978,119.31,word,AXB,A3,X3,B3,A3_X3_B3.wav,segmentation,partword,XCA,X1,B3,A2,X1_B3_A2.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,J,1,foil-true,true,2,5.0519999999999925,159.481,1.2019999999999982,158.279,1.2019999999999982,155.633,ruleword,AXB,A3,X5,B3,A3_X5_B3.wav,generalization,partword,NCA,X5,B3,A3,X5_B3_A3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,K,0,true-foil,foil,2,7.457000000000001,32.714,1.4430000000000014,28.865,1.2029999999999994,31.511,ruleword,AXB,A2,X4,B2,A2_X4_B2.wav,generalization,partword,XNA,X1,X4,A2,X1_X4_A2.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,L,0,true-foil,foil,2,10.344000000000008,67.833,1.2019999999999982,63.985,1.4429999999999978,66.39,ruleword,AXB,A3,X6,B3,A3_X6_B3.wav,generalization,partword,XNA,X3,X6,A3,X3_X6_A3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,M,1,true-foil,true,1,6.4949999999999974,19.484,1.2030000000000012,15.635,1.203000000000003,18.281,ruleword,AXB,A1,X6,B1,A1_X6_B1.wav,generalization,partword,CAN,B1,A1,X6,B1_A1_X6.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
